target,predictor,n,spearman_rho,spearman_p,partial_rho__control_baseline_similarity,partial_p__control_baseline_similarity,partial_n__control_baseline_similarity,spearman_q_fdr_bh,partial_q_fdr_bh
t_cross_sim_lt_0_80,semantic_diversity,500,-0.19401307951919766,1.2482409198507408e-05,0.025921735686942747,0.5630790991991907,500,0.00023716577477164076,0.668656430299039
t_cross_sim_lt_0_80,rich_vs_poor_details__imagined,500,0.14718430813711272,0.0009637585662570479,-0.020968595874383496,0.6399634110147163,500,0.0073051592997149355,0.7152532240752713
t_cross_sim_lt_0_80,concrete_vs_abstract__imagined,500,0.14494556847979315,0.0011534462052181476,-0.028969747878991512,0.5180866498055781,500,0.0073051592997149355,0.6562430897537321
t_cross_sim_lt_0_80,mean_log10_wordfreq,500,-0.12942199935166193,0.003744482775588543,-0.054255577022308085,0.22587729420604055,500,0.014550967593368106,0.6130955128449672
t_cross_sim_lt_0_80,word_count,500,0.12911112897414143,0.003829201998254765,0.05968036672146688,0.18274806502325247,500,0.014550967593368106,0.5787022059069661
t_cross_sim_lt_0_80,specific_vs_general__imagined,500,0.1072550199846266,0.016430179407637482,-0.03529866919467678,0.43094700030960187,500,0.0520289014575187,0.6495854264371069
t_cross_sim_lt_0_80,rich_vs_poor_details__encoded,500,0.08659248315648294,0.05298336230671705,0.08440180960723842,0.05930513784803642,500,0.13482853221647972,0.5787022059069661
t_cross_sim_lt_0_80,type_token_ratio,500,-0.08422550938159297,0.05983995225910327,0.0392812451249805,0.3807608601932142,500,0.13482853221647972,0.6495854264371069
t_cross_sim_lt_0_80,rich_vs_poor_details__consolidated,500,0.08293849451466623,0.06386614683938513,0.048506018024072096,0.27900814326002177,500,0.13482853221647972,0.6495854264371069
t_cross_sim_lt_0_80,specific_vs_general__drift_consolidated_minus_original,500,0.07713534078613098,0.08487956362884978,-0.03331568526274105,0.457298149219007,500,0.15561298839540977,0.6495854264371069
t_cross_sim_lt_0_80,concrete_vs_abstract__consolidated,500,0.07462799708144416,0.095538043328787,0.043304045216180864,0.3338752364782026,500,0.15561298839540977,0.6495854264371069
t_cross_sim_lt_0_80,specific_vs_general__consolidated,500,0.07401898374725016,0.09828188740762722,0.03273651494605979,0.46516138179279753,500,0.15561298839540977,0.6495854264371069
t_cross_sim_lt_0_80,rich_vs_poor_details__drift_consolidated_minus_original,500,0.06909271544395956,0.12284593303147517,-0.01249320197280789,0.7804994929413729,500,0.1795440559690791,0.8238605758825602
t_cross_sim_lt_0_80,concrete_vs_abstract__drift_consolidated_minus_original,500,0.06049923937858226,0.17680576747479854,-0.0040125280501122,0.9286856268246388,500,0.23995068443008374,0.928685626824639
t_cross_sim_lt_0_80,concrete_vs_abstract__encoded,500,0.03487206459042824,0.436540670831845,0.08265940263761054,0.06476803605129179,500,0.5529515163870037,0.5787022059069661
t_cross_sim_lt_0_80,specific_vs_general__original,500,-0.021332919232065248,0.6341607167972225,0.059794127176508706,0.18191382478280235,500,0.7161641020962676,0.5787022059069661
t_cross_sim_lt_0_80,specific_vs_general__encoded,500,0.019721903672094632,0.6599847615907416,0.06349100596402385,0.15631364635988315,500,0.7161641020962676,0.5787022059069661
t_cross_sim_lt_0_80,concrete_vs_abstract__original,500,-0.01858415864713399,0.6784712546175167,0.031756063024252094,0.47864189316418404,500,0.7161641020962676,0.6495854264371069
t_cross_sim_lt_0_80,rich_vs_poor_details__original,500,-0.006175579643236686,0.8904412823595212,0.0643871695486782,0.15053922506089515,500,0.8904412823595212,0.5787022059069661
total_drop_baseline_minus_final,concrete_vs_abstract__original,500,0.13940839405519628,0.0017796475587842414,0.17139025356101426,0.00011747113443837814,500,0.03381330361690059,0.002231951554329185
total_drop_baseline_minus_final,type_token_ratio,500,-0.12144890317755434,0.006548867457303337,-0.07136409345637382,0.11098346851647259,500,0.0622142408443817,0.22945364685544806
total_drop_baseline_minus_final,concrete_vs_abstract__drift_consolidated_minus_original,500,-0.11186936682408834,0.012311923038230177,-0.12937914151656607,0.003756060669330614,500,0.07148315044526768,0.017841288179320416
total_drop_baseline_minus_final,rich_vs_poor_details__original,500,0.10867618446656419,0.01504908430426688,0.13540863763455052,0.0024114497903575537,500,0.07148315044526768,0.015272515338931173
total_drop_baseline_minus_final,specific_vs_general__original,500,0.10121524052962626,0.023611523637936387,0.14180792723170893,0.0014775095018382464,500,0.08972378982415827,0.014036340267463341
total_drop_baseline_minus_final,rich_vs_poor_details__drift_consolidated_minus_original,500,-0.08208147909878563,0.06666892684434392,-0.11031154524618099,0.013586896320757378,500,0.16864091245933094,0.04302517168239836
total_drop_baseline_minus_final,specific_vs_general__drift_consolidated_minus_original,500,-0.07971818079917921,0.07492447930515732,-0.11820325681302725,0.00815049769330549,500,0.16864091245933094,0.030971891234560865
total_drop_baseline_minus_final,rich_vs_poor_details__encoded,500,0.07962758607501826,0.07525681272829313,0.07814114456457825,0.0808829661298757,500,0.16864091245933094,0.19209704455845478
total_drop_baseline_minus_final,semantic_diversity,500,-0.07839919359677439,0.0798825374807357,0.0447938751755007,0.31749619914941285,500,0.16864091245933094,0.4308876988456317
total_drop_baseline_minus_final,concrete_vs_abstract__encoded,500,0.060776503801180354,0.1748266326450026,0.08576040704162816,0.05531506608457155,500,0.3032415894682899,0.15014089365812278
total_drop_baseline_minus_final,word_count,500,0.06067336367400758,0.17556092021848363,0.01678547514190057,0.7080906776954019,500,0.3032415894682899,0.8408576797632897
total_drop_baseline_minus_final,rich_vs_poor_details__imagined,500,0.04817220135550318,0.28233381461666496,-0.029570038280153116,0.5094492518893252,500,0.4470285398097195,0.6453023857264787
total_drop_baseline_minus_final,concrete_vs_abstract__imagined,500,0.04091920641916603,0.3612038121537988,-0.04645352981411925,0.29987923298678615,500,0.5279132639170906,0.4308876988456317
total_drop_baseline_minus_final,specific_vs_general__imagined,500,0.03708390777225354,0.40799305395869767,-0.04525429301717207,0.31254248372667964,500,0.5489389429347494,0.4308876988456317
total_drop_baseline_minus_final,specific_vs_general__encoded,500,0.03511327072281895,0.4333728496853285,0.06947835791343165,0.12076507729234107,500,0.5489389429347494,0.22945364685544806
total_drop_baseline_minus_final,concrete_vs_abstract__consolidated,500,0.019708736380776422,0.6601975562557907,0.009553958215832863,0.8312464951444628,500,0.7839845980537514,0.8774268559858219
total_drop_baseline_minus_final,rich_vs_poor_details__consolidated,500,0.010200429067797393,0.8200166442866224,-0.000814563258253033,0.9855043494825813,500,0.9164891906732838,0.9855043494825813
total_drop_baseline_minus_final,specific_vs_general__consolidated,500,0.004908461077220736,0.912819818457135,-0.011978255913023652,0.7893296858501682,500,0.9298717699973259,0.8774268559858219
total_drop_baseline_minus_final,mean_log10_wordfreq,500,0.00394561578246313,0.929871769997326,0.06179602318409273,0.16769091124407623,500,0.9298717699973259,0.2896479376034044
