series,Zipf frequency,Density
Original,1.2020033388981635,0.0011150361464905957
Original,1.2186978297161937,0.0011694381302592741
Original,1.2353923205342237,0.0012256645182854257
Original,1.2520868113522536,0.0012837757968191116
Original,1.2687813021702838,0.0013438381517790422
Original,1.2854757929883138,0.0014059229593371275
Original,1.3021702838063438,0.0014701062289438442
Original,1.3188647746243738,0.00153646800415385
Original,1.335559265442404,0.0016050917267747505
Original,1.352253756260434,0.0016760635697061165
Original,1.368948247078464,0.0017494717433820068
Original,1.3856427378964942,0.0018254057800193514
Original,1.4023372287145242,0.0019039557989672614
Original,1.4190317195325541,0.0019852117554255777
Original,1.4357262103505843,0.002069262673744256
Original,1.4524207011686143,0.0021561958655275278
Original,1.4691151919866443,0.002246096131949585
Original,1.4858096828046743,0.002339044949142082
Original,1.5025041736227045,0.0024351196353299847
Original,1.5191986644407345,0.0025343924986497867
Original,1.5358931552587645,0.0026369299653425373
Original,1.5525876460767947,0.002742791689309165
Original,1.5692821368948247,0.002852029645855897
Original,1.5859766277128546,0.00296468721482094
Original,1.6026711185308846,0.0030807982611068736
Original,1.6193656093489148,0.003200386223860819
Original,1.6360601001669448,0.00332346322903244
Original,1.6527545909849748,0.0034500292436559733
Original,1.669449081803005,0.003580071293784778
Original,1.686143572621035,0.003713562771375564
Original,1.702838063439065,0.003850462858388545
Original,1.7195325542570952,0.003990716098751305
Original,1.7362270450751252,0.004134252150448742
Original,1.7529215358931551,0.004280985750687855
Original,1.7696160267111851,0.004430816926706106
Original,1.7863105175292153,0.004583631483242308
Original,1.8030050083472453,0.004739301794904652
Original,1.8196994991652753,0.004897687927631109
Original,1.8363939899833055,0.005058639108171568
Original,1.8530884808013355,0.005221995554104915
Original,1.8697829716193655,0.005387590669464782
Original,1.8864774624373957,0.0055552536027551926
Original,1.9031719532554257,0.005724812155205765
Original,1.9198664440734556,0.005896096017790332
Original,1.9365609348914856,0.006068940306086244
Original,1.9532554257095158,0.006243189352770343
Original,1.9699499165275458,0.0064187007087255984
Original,1.9866444073455758,0.0065953492956538125
Original,2.003338898163606,0.006773031646024057
Original,2.020033388981636,0.00695167016037466
Original,2.036727879799666,0.00713121730762801
Original,2.053422370617696,0.0073116596913325275
Original,2.070116861435726,0.007493021903715505
Original,2.0868113522537564,0.0076753700901666866
Original,2.1035058430717863,0.007858815149260316
Original,2.1202003338898163,0.008043515497603501
Original,2.1368948247078463,0.008229679334543142
Original,2.1535893155258763,0.00841756634891158
Original,2.1702838063439063,0.008607488818326204
Original,2.1869782971619363,0.00879981206084539
Original,2.2036727879799667,0.008994954208756515
Original,2.2203672787979967,0.009193385284661335
Original,2.2370617696160267,0.00939562557055879
Original,2.2537562604340566,0.009602243271045481
Original,2.2704507512520866,0.009813851481826152
Original,2.2871452420701166,0.010031104484241535
Original,2.3038397328881466,0.010254693395315649
Original,2.320534223706177,0.01048534121077211
Original,2.337228714524207,0.010723797285489401
Original,2.353923205342237,0.010970831301930774
Original,2.370617696160267,0.011227226782196119
Original,2.387312186978297,0.011493774203560743
Original,2.404006677796327,0.011771263780764589
Original,2.4207011686143574,0.012060477981006483
Original,2.4373956594323873,0.012362183839705415
Original,2.4540901502504173,0.01267712514674639
Original,2.4707846410684473,0.01300601457425941
Original,2.4874791318864773,0.01334952581810452
Original,2.5041736227045073,0.013708285826253209
Original,2.5208681135225373,0.014082867188228222
Original,2.5375626043405677,0.014473780760735775
Original,2.5542570951585977,0.01488146860559006
Original,2.5709515859766277,0.015306297316954855
Original,2.5876460767946576,0.015748551815735617
Original,2.6043405676126876,0.016208429689537455
Original,2.6210350584307176,0.01668603615682527
Original,2.6377295492487476,0.01718137973361302
Original,2.654424040066778,0.0176943686799963
Original,2.671118530884808,0.018224808301940055
Original,2.687813021702838,0.018772399180757935
Original,2.704507512520868,0.019336736398495206
Original,2.721202003338898,0.019917309821808997
Original,2.737896494156928,0.02051350549980151
Original,2.754590984974958,0.021124608222510766
Original,2.7712854757929883,0.02174980527637278
Original,2.7879799666110183,0.022388191420920567
Original,2.8046744574290483,0.023038775097353064
Original,2.8213689482470783,0.02370048586448475
Original,2.8380634390651083,0.024372183041142144
Original,2.8547579298831383,0.02505266551651041
Original,2.8714524207011687,0.02574068267151791
Original,2.8881469115191987,0.02643494633536861
Original,2.9048414023372287,0.027134143682148157
Original,2.9215358931552586,0.027836950953390626
Original,2.9382303839732886,0.028542047874007603
Original,2.9549248747913186,0.029248132611456985
Original,2.9716193656093486,0.029953937111872855
Original,2.988313856427379,0.03065824263251544
Original,3.005008347245409,0.031359895277726965
Original,3.021702838063439,0.03205782133597589
Original,3.038397328881469,0.03275104220888637
Original,3.055091819699499,0.03343868871969385
Original,3.071786310517529,0.03412001458859392
Original,3.088480801335559,0.03479440886616079
Original,3.1051752921535893,0.03546140712353531
Original,3.1218697829716193,0.036120701209474845
Original,3.1385642737896493,0.03677214739959591
Original,3.1552587646076793,0.037415772782114526
Original,3.1719532554257093,0.0380517797468921
Original,3.1886477462437393,0.03868054847035163
Original,3.2053422370617692,0.039302637317440776
Original,3.2220367278797997,0.039918781112837975
Original,3.2387312186978297,0.04052988726646972
Original,3.2554257095158596,0.04113702977252455
Original,3.2721202003338896,0.041741441135833064
Original,3.2888146911519196,0.04234450231402695
Original,3.3055091819699496,0.04294773079754006
Original,3.32220367278798,0.04355276698153711
Original,3.33889816360601,0.04416135901349289
Original,3.35559265442404,0.04477534632672503
Original,3.37228714524207,0.045396642093027954
Original,3.3889816360601,0.04602721484613502
Original,3.40567612687813,0.046669069541549264
Original,3.42237061769616,0.047324228326998806
Original,3.4390651085141903,0.04799471130116146
Original,3.4557595993322203,0.048682517536266096
Original,3.4724540901502503,0.04938960663280707
Original,3.4891485809682803,0.0501178810620672
Original,3.5058430717863103,0.05086916953481349
Original,3.5225375626043403,0.051645211612871736
Original,3.5392320534223702,0.05244764375488024
Original,3.5559265442404007,0.05327798695908042
Original,3.5726210350584306,0.0541376361352478
Original,3.5893155258764606,0.05502785130562984
Original,3.6060100166944906,0.05594975070182335
Original,3.6227045075125206,0.05690430579171028
Original,3.6393989983305506,0.057892338238628625
Original,3.656093489148581,0.058914518764545176
Original,3.672787979966611,0.05997136786075395
Original,3.689482470784641,0.06106325826395346
Original,3.706176961602671,0.0621904190928869
Original,3.722871452420701,0.06335294152120081
