Layer index,PC1,PC2,Grid x,Grid y,Run index
0,-0.1683164647270751,-0.031214608132981478,0,0,13
0,0.2119978982530838,0.05761413371480479,0,1,13
0,-0.16274749432663171,0.02811502209899883,0,2,13
0,0.18229744734680395,-0.022809702146293617,1,0,13
0,-0.21455807315869055,0.14750554807282826,1,1,13
0,0.216490149787491,-0.17774087015843676,1,2,13
0,-0.19007749195442333,0.07542737885036442,2,0,13
0,0.21611692022748333,0.10672418271843225,2,1,13
0,-0.21763267915241188,-0.01182850843417081,2,2,13
0,-0.07435552094072592,-0.14048372024828396,0,0,14
0,0.11154711008483728,0.13292406878839616,0,1,14
0,-0.21689909368980154,-0.1455623115928553,0,2,14
0,0.1759752779221757,0.09828188513466796,1,0,14
0,-0.21488781151002245,-0.15937194445490274,1,1,14
0,0.24915953009750458,0.17358185171081802,1,2,14
0,-0.20549551050009107,-0.10463342463081982,2,0,14
0,0.21236407692668013,0.10216945559587436,2,1,14
0,-0.21085503860638527,0.16464042015477115,2,2,14
0,-0.1720183370044968,0.2294188441139334,0,0,15
0,0.1921886793556556,-0.06550486282008901,0,1,15
0,-0.21313687363019865,0.019235597116218243,0,2,15
0,0.24227849324092202,-0.06545721206289688,1,0,15
0,-0.19337912823489137,-0.05990462694424321,1,1,15
0,0.24047519407290677,-0.1843153338511202,1,2,15
0,-0.19314269132670395,0.04870900357009591,2,0,15
0,0.19773004498162955,-0.1427092402414639,2,1,15
0,-0.16649543875733513,-0.01767458913542866,2,2,15
0,0.18269930002669904,-0.03623878033208479,0,0,16
0,-0.2341136684251852,-0.07761186270420188,0,1,16
0,0.2208592486229619,0.16516012846512199,0,2,16
0,-0.1944612120719618,-0.11452600019291481,1,0,16
0,0.1816839772501248,0.12370631024160385,1,1,16
0,-0.19275112886837373,0.06490739113879003,1,2,16
0,0.2158680014483597,0.15315430865267451,2,0,16
0,-0.19948610300594435,-0.053545136244063166,2,1,16
0,0.22747210382355873,0.12166377864621837,2,2,16
0,-0.19584206884232422,0.06727488591939801,0,0,17
0,0.23061137567741946,0.05675162923653711,0,1,17
0,-0.16940702505182487,0.08464383381186869,0,2,17
0,0.21804470598376874,-0.176333312372916,1,0,17
0,-0.23696711450039767,0.06616153770091628,1,1,17
0,0.2240898085527382,-0.09685525637938217,1,2,17
0,-0.23769864429957577,0.07888968225585942,2,0,17
0,0.19958574541603488,0.08967943615044699,2,1,17
0,-0.20584342123156907,0.2660327133059482,0,0,18
0,0.21592202933351493,0.09447025632778352,0,1,18
0,-0.2088098331689302,-0.0056718166001932125,0,2,18
0,0.1704453336896738,0.006057037005184341,1,0,18
0,-0.21731430043191285,-0.12231869991580345,1,1,18
0,0.22324770961086784,-0.1474280444651272,1,2,18
0,-0.09684647697647293,-0.01589804151614651,2,0,18
0,0.22120897815371066,0.19894138063344247,2,1,18
0,-0.23534221060178187,0.09676372052731064,2,2,18
0,-0.21493263705804708,0.0009655039747887125,0,0,19
0,0.21938748891054197,-0.0467374858174073,0,1,19
0,-0.23283389732013282,0.1610374118212692,0,2,19
0,0.22339691653825386,-0.2102648638454923,1,0,19
0,-0.19894198848584016,-0.003896178760501804,1,1,19
0,0.24055838072109706,0.19942383610163106,1,2,19
0,-0.21136651721449762,0.018952202149054225,2,0,19
0,0.1930440160957582,0.08610307264272465,2,1,19
0,-0.13832922978488454,-0.05811378726282346,2,2,19
0,0.18927552839691927,-0.09448373338953395,0,0,20
0,-0.15545377106114242,-0.11916756757872955,0,1,20
0,0.17035602250876838,-0.03223252694851458,0,2,20
0,-0.19666231127332567,0.14568410290143374,1,0,20
0,0.21521551030221248,0.03298735660753583,1,1,20
0,-0.21871764561765125,-0.15418794558333093,1,2,20
0,0.21634307450069318,-0.01738266523437585,2,0,20
0,-0.23591084567349602,0.09264062640981496,2,1,20
0,0.23414111173286795,-0.12968902488062314,2,2,20
0,-0.1914893420091346,0.10394432038320817,0,0,21
