PC1,PC2,series,Point type
-0.09555989503860474,-0.18105566501617432,Health,Background
-0.12264566123485565,-0.23924630880355835,Health,Background
-0.13856007158756256,-0.23192906379699707,Health,Background
-0.10783188045024872,-0.3010784685611725,Health,Background
-0.018895715475082397,-0.0009376406669616699,Health,Background
-0.01845206320285797,-0.23799806833267212,Health,Background
-0.06766414642333984,-0.09389324486255646,Health,Background
-0.07802213728427887,-0.2344268262386322,Health,Background
-0.13917286694049835,-0.09899505972862244,Health,Background
0.041851677000522614,-0.13447706401348114,Health,Background
-0.05579117313027382,-0.09917405992746353,Health,Background
-0.11050358414649963,-0.2290731966495514,Health,Background
-0.029673945158720016,-0.10425317287445068,Health,Background
-0.2333202213048935,-0.07274721562862396,Health,Background
-0.14479999244213104,0.029882118105888367,Health,Background
-0.13108116388320923,-0.21181440353393555,Health,Background
-0.016703113913536072,-0.1575627475976944,Health,Background
-0.04939935728907585,-0.055064573884010315,Health,Background
-0.014848027378320694,-0.0764804482460022,Health,Background
-0.03355119749903679,-0.1120932549238205,Health,Background
-0.015892107039690018,-0.02073875069618225,Health,Background
-0.14128561317920685,-0.25013235211372375,Health,Background
-0.18244250118732452,-0.17164930701255798,Health,Background
-0.08165706694126129,-0.20022276043891907,Health,Background
-0.18198491632938385,-0.13656505942344666,Health,Background
-0.10311277210712433,-0.12424056977033615,Health,Background
-0.21364375948905945,-0.19276505708694458,Health,Background
-0.018397610634565353,-0.01711742952466011,Health,Background
0.005833107978105545,-0.01355646550655365,Health,Background
-0.134856179356575,-0.11234232783317566,Health,Background
-0.13618145883083344,-0.08853829652070999,Health,Background
-0.3051620125770569,0.0504956990480423,Health,Background
-0.12315060198307037,-0.11037562787532806,Health,Background
-0.08327250182628632,-0.10239924490451813,Health,Background
-0.06784255802631378,-0.016216352581977844,Health,Background
0.09565292298793793,-0.028792884200811386,Health,Background
-0.14370988309383392,-0.13140329718589783,Health,Background
-0.16020183265209198,-0.1521541178226471,Health,Background
-0.19108428061008453,-0.16769233345985413,Health,Background
-0.0369366817176342,-0.11014759540557861,Health,Background
-0.17122133076190948,-0.13817542791366577,Health,Background
-0.013879846781492233,-0.2535838782787323,Health,Background
-0.2931939959526062,-0.1800900399684906,Health,Background
-0.01393912360072136,-0.006056644022464752,Health,Background
-0.2645505964756012,-0.15652385354042053,Health,Background
0.047627586871385574,-0.015697769820690155,Health,Background
0.08453907072544098,-0.15027475357055664,Health,Background
-0.180673286318779,-0.014347370713949203,Health,Background
-0.1952534019947052,-0.020796462893486023,Health,Background
-0.18244250118732452,-0.17164930701255798,Health,Background
-0.021149590611457825,-0.2588418424129486,Health,Background
-0.1760895997285843,-0.14362317323684692,Health,Background
-0.06518416106700897,-0.1607542335987091,Health,Background
