Model,Grid distance,Representation distance
GPT-2,1,55.0114631652832
GPT-2,1,45.657020568847656
GPT-2,1,38.79848098754883
GPT-2,1,61.04262161254883
GPT-2,1,290.3623352050781
GPT-2,1,36.060081481933594
GPT-2,1,291.0389099121094
GPT-2,1,63.329261779785156
GPT-2,1,63.99555969238281
GPT-2,1,39.958580017089844
GPT-2,1,39.84185791015625
GPT-2,1,52.57278823852539
GPT-2,1,59.89805603027344
GPT-2,1,55.18928527832031
GPT-2,1,52.24516296386719
GPT-2,1,64.70675659179688
GPT-2,1,53.37012481689453
GPT-2,1,45.90141677856445
GPT-2,1,41.1468505859375
GPT-2,1,50.443023681640625
GPT-2,1,60.49479293823242
GPT-2,1,51.83462905883789
GPT-2,1,215.7421875
GPT-2,1,43.35154342651367
GPT-2,1,221.01075744628906
GPT-2,1,231.43251037597656
GPT-2,1,225.94908142089844
GPT-2,1,216.39491271972656
GPT-2,1,44.78745651245117
GPT-2,1,37.43791580200195
GPT-2,1,52.16180419921875
GPT-2,1,54.21553039550781
GPT-2,1,63.13798522949219
GPT-2,1,45.8432502746582
GPT-2,1,43.81938934326172
GPT-2,1,51.737369537353516
GPT-2,1,52.76323699951172
GPT-2,1,40.5458984375
GPT-2,1,297.57611083984375
GPT-2,1,278.8924865722656
GPT-2,1,52.671226501464844
GPT-2,1,56.75596618652344
GPT-2,1,65.42176055908203
GPT-2,1,64.61981201171875
GPT-2,1,69.02655792236328
GPT-2,1,59.44948196411133
GPT-2,1,52.99936294555664
GPT-2,1,70.51245880126953
GPT-2,1,64.46395111083984
GPT-2,1,53.69189453125
GPT-2,1,55.12161636352539
GPT-2,1,53.42955017089844
GPT-2,1,52.398929595947266
GPT-2,1,51.44355010986328
GPT-2,1,49.32876205444336
GPT-2,1,54.49662780761719
GPT-2,1,48.01289367675781
GPT-2,1,51.1047248840332
GPT-2,1,497.1441345214844
GPT-2,1,42.930877685546875
GPT-2,1,502.7513122558594
GPT-2,1,506.4593505859375
GPT-2,1,59.3723258972168
GPT-2,1,45.90565490722656
GPT-2,1,53.23894119262695
GPT-2,1,51.424095153808594
GPT-2,1,64.38008880615234
GPT-2,1,57.06857681274414
GPT-2,1,204.91336059570312
GPT-2,1,56.73099136352539
GPT-2,1,49.81492233276367
GPT-2,1,52.338314056396484
GPT-2,1,215.37667846679688
GPT-2,1,50.07924270629883
GPT-2,1,41.31659698486328
GPT-2,1,56.64249038696289
GPT-2,1,46.962242126464844
GPT-2,1,31.1728458404541
GPT-2,1,50.75263214111328
GPT-2,1,50.34024429321289
GPT-2,1,57.86983871459961
GPT-2,1,39.8057975769043
GPT-2,1,332.5928649902344
GPT-2,1,47.799461364746094
GPT-2,1,334.1654357910156
GPT-2,1,333.6418762207031
GPT-2,1,50.95614242553711
GPT-2,1,54.45555114746094
GPT-2,1,277.3061828613281
GPT-2,1,44.389381408691406
GPT-2,1,286.85565185546875
GPT-2,1,48.57575988769531
GPT-2,1,64.16389465332031
GPT-2,1,52.00636672973633
GPT-2,1,51.92588424682617
GPT-2,1,49.74289321899414
GPT-2,1,59.21487045288086
GPT-2,1,50.6806640625
GPT-2,1,57.187652587890625
GPT-2,1,51.57719421386719
GPT-2,1,40.86054229736328
GPT-2,1,293.6554260253906
GPT-2,1,57.03938293457031
GPT-2,1,292.7115173339844
GPT-2,1,55.64259338378906
GPT-2,1,285.1204528808594
GPT-2,1,286.8312683105469
GPT-2,1,51.50169372558594
GPT-2,1,61.85560607910156
GPT-2,1,48.92622375488281
GPT-2,1,50.06540298461914
GPT-2,1,48.210182189941406
GPT-2,1,55.644371032714844
GPT-2,1,61.08361053466797
GPT-2,1,44.62670135498047
GPT-2,1,53.75863265991211
GPT-2,1,100.7440414428711
GPT-2,1,51.83852005004883
GPT-2,1,328.1598815917969
GPT-2,1,52.03447723388672
GPT-2,1,303.5209045410156
GPT-2,1,328.77423095703125
GPT-2,1,33.08135986328125
GPT-2,1,39.888511657714844
GPT-2,1,51.10245132446289
GPT-2,1,40.712650299072266
GPT-2,1,222.4683380126953
GPT-2,1,41.26613998413086
GPT-2,1,56.67686080932617
GPT-2,1,238.5904541015625
GPT-2,1,48.92964553833008
GPT-2,1,221.16622924804688
GPT-2,1,52.27450942993164
GPT-2,1,65.41659545898438
GPT-2,1,57.075828552246094
GPT-2,1,50.26347732543945
GPT-2,1,48.840694427490234
GPT-2,1,54.439979553222656
GPT-2,1,50.13827133178711
GPT-2,1,37.6124267578125
GPT-2,1,48.325294494628906
GPT-2,1,151.4153289794922
GPT-2,1,52.0708122253418
GPT-2,1,157.14048767089844
GPT-2,1,44.91304397583008
GPT-2,1,61.14168930053711
GPT-2,1,47.613590240478516
GPT-2,1,58.97890853881836
GPT-2,1,289.8265380859375
GPT-2,1,61.25192642211914
GPT-2,1,52.5348014831543
GPT-2,1,290.7105407714844
GPT-2,1,61.43061447143555
GPT-2,1,286.4856872558594
GPT-2,1,54.884159088134766
GPT-2,1,70.32403564453125
GPT-2,1,54.1218147277832
GPT-2,1,50.283756256103516
GPT-2,1,55.584083557128906
GPT-2,1,52.41437530517578
GPT-2,1,50.349761962890625
GPT-2,1,54.53392791748047
GPT-2,1,66.57264709472656
GPT-2,1,51.10844421386719
GPT-2,1,59.81306457519531
GPT-2,1,199.76869201660156
GPT-2,1,50.77906799316406
GPT-2,1,178.98585510253906
GPT-2,1,55.81950378417969
GPT-2,1,49.68820571899414
GPT-2,1,55.77397155761719
GPT-2,1,59.77384567260742
GPT-2,1,51.90617370605469
GPT-2,1,44.9481086730957
GPT-2,1,409.53656005859375
GPT-2,1,59.53877258300781
GPT-2,1,60.540733337402344
GPT-2,1,58.11814498901367
GPT-2,1,401.8568420410156
GPT-2,1,49.81203842163086
GPT-2,1,330.5640563964844
GPT-2,1,343.5283508300781
GPT-2,1,31.15776824951172
GPT-2,1,48.40681457519531
GPT-2,1,46.80331039428711
GPT-2,1,47.02723693847656
GPT-2,1,37.95345687866211
GPT-2,1,54.68049240112305
GPT-2,1,69.1680679321289
GPT-2,1,70.40629577636719
GPT-2,1,236.98753356933594
GPT-2,1,253.881103515625
GPT-2,1,62.143192291259766
GPT-2,1,58.220455169677734
GPT-2,1,52.99241638183594
GPT-2,1,58.670692443847656
GPT-2,1,55.680274963378906
GPT-2,1,70.21235656738281
GPT-2,1,49.665462493896484
GPT-2,1,49.88401412963867
GPT-2,1,52.38406753540039
GPT-2,1,49.97728729248047
GPT-2,1,43.874393463134766
GPT-2,1,39.08277130126953
GPT-2,1,493.3392028808594
GPT-2,1,39.695350646972656
GPT-2,1,49.33327865600586
GPT-2,1,507.8974914550781
GPT-2,1,47.81666564941406
GPT-2,1,498.25579833984375
GPT-2,1,59.22422790527344
GPT-2,1,66.14274597167969
GPT-2,1,46.66876983642578
GPT-2,1,53.876949310302734
GPT-2,1,228.13381958007812
GPT-2,1,39.68927764892578
GPT-2,1,220.6121063232422
GPT-2,1,52.71532440185547
GPT-2,1,55.938961029052734
GPT-2,1,44.91087341308594
GPT-2,1,36.1244010925293
GPT-2,1,53.429405212402344
