Model,Grid distance,Representation distance
Our model,1,172.4818572998047
Our model,1,176.6311492919922
Our model,1,171.56312561035156
Our model,1,203.1095733642578
Our model,1,185.68309020996094
Our model,1,132.09747314453125
Our model,1,151.55191040039062
Our model,1,148.96888732910156
Our model,1,125.3539810180664
Our model,1,173.35870361328125
Our model,1,150.63632202148438
Our model,1,108.90516662597656
Our model,1,113.12613677978516
Our model,1,107.30233001708984
Our model,1,130.98121643066406
Our model,1,138.1722412109375
Our model,1,164.12033081054688
Our model,1,127.95108032226562
Our model,1,121.33885955810547
Our model,1,129.464599609375
Our model,1,150.2113494873047
Our model,1,122.9540023803711
Our model,1,129.43881225585938
Our model,1,96.08039855957031
Our model,1,107.61067962646484
Our model,1,126.73160552978516
Our model,1,131.7266082763672
Our model,1,134.49301147460938
Our model,1,98.15380096435547
Our model,1,105.94402313232422
Our model,1,103.25206756591797
Our model,1,127.53155517578125
Our model,1,126.4518051147461
Our model,1,100.04945373535156
Our model,1,122.25346374511719
Our model,1,129.0186004638672
Our model,1,179.54135131835938
Our model,1,140.7418212890625
Our model,1,130.72430419921875
Our model,1,123.00233459472656
Our model,1,110.58897399902344
Our model,1,120.90808868408203
Our model,1,117.92207336425781
Our model,1,137.70794677734375
Our model,1,125.24954223632812
Our model,1,97.17378234863281
Our model,1,127.54495239257812
Our model,1,90.3037109375
Our model,1,157.73899841308594
Our model,1,115.46827697753906
Our model,1,128.9781494140625
Our model,1,221.9880828857422
Our model,1,184.98114013671875
Our model,1,132.64398193359375
Our model,1,116.16868591308594
Our model,1,150.83033752441406
Our model,1,127.98127746582031
Our model,1,143.15773010253906
Our model,1,123.59964752197266
Our model,1,95.08212280273438
Our model,1,128.80987548828125
Our model,1,130.17453002929688
Our model,1,193.1833953857422
Our model,1,129.08355712890625
Our model,1,142.90469360351562
Our model,1,142.3582000732422
Our model,1,113.50353240966797
Our model,1,118.12097930908203
Our model,1,115.83521270751953
Our model,1,136.09414672851562
Our model,1,114.0702896118164
Our model,1,153.70230102539062
Our model,1,120.00566101074219
Our model,1,151.84068298339844
Our model,1,181.82449340820312
Our model,1,152.06822204589844
Our model,1,129.49403381347656
Our model,1,127.62422180175781
Our model,1,78.56375122070312
Our model,1,127.62527465820312
Our model,1,169.74354553222656
Our model,1,114.49363708496094
Our model,1,132.04054260253906
Our model,1,112.75737762451172
Our model,1,137.64414978027344
Our model,1,126.99174499511719
Our model,1,134.38406372070312
Our model,1,143.45433044433594
Our model,1,116.70111846923828
Our model,1,146.2447052001953
Our model,1,124.22270202636719
Our model,1,95.87397766113281
