PCA plot,Model,series,PC1,PC2,Grid x,Grid y,Node name
Combined,GPT-2,"grid position (1, 0)",0.10087114568185317,-0.004428827448741761,1,0,
Combined,GPT-2,"grid position (1, 1)",0.07679631142087938,0.04969563794296391,1,1,
Combined,GPT-2,"grid position (1, 2)",-0.05251274132927072,-0.07899976778824296,1,2,
Combined,GPT-2,"grid position (2, 0)",0.10980592149932761,0.047435657730358835,2,0,
Combined,GPT-2,"grid position (2, 1)",-0.45202633046451385,0.04784177841302041,2,1,
Combined,GPT-2,"grid position (2, 2)",-0.034441076377398405,-0.10993643992646994,2,2,
Combined,GPT-2,"grid position (0, 0)",0.11392817841779335,0.07734315102564537,0,0,
Combined,GPT-2,"grid position (0, 1)",0.10476549558763094,0.04663854007985586,0,1,
Combined,GPT-2,"grid position (0, 2)",0.05390790482731301,0.11046272705794397,0,2,
Combined,GPT-2,"grid position (1, 0)",0.11705272415841282,0.01585935994868694,1,0,
Combined,GPT-2,"grid position (1, 1)",0.08786174521895275,-0.01625493342268426,1,1,
Combined,GPT-2,"grid position (1, 2)",0.002224025088527927,-0.03316446319976664,1,2,
Combined,GPT-2,"grid position (2, 0)",0.07792804242615564,-0.018478521602692245,2,0,
Combined,GPT-2,"grid position (2, 1)",-0.31235410572845623,0.03109446814712731,2,1,
Combined,GPT-2,"grid position (2, 2)",0.02963179426015233,-0.020282599934064213,2,2,
Combined,GPT-2,"grid position (0, 0)",-0.5938495833803604,0.04404710812144244,0,0,
Combined,GPT-2,"grid position (0, 1)",0.0724552118977538,0.0978205075588989,0,1,
Combined,GPT-2,"grid position (0, 2)",0.04435105457518323,-0.02176465728012798,0,2,
Combined,GPT-2,"grid position (1, 0)",0.023090963199975837,-0.060888446628115746,1,0,
Combined,GPT-2,"grid position (1, 1)",0.07723890429105337,-0.01777295457856515,1,1,
Combined,GPT-2,"grid position (1, 2)",0.10650526738429016,0.04023000390802374,1,2,
Combined,GPT-2,"grid position (2, 0)",0.07221651936876755,-0.014530441174019056,2,0,
Combined,GPT-2,"grid position (2, 1)",0.07501559927051114,0.00028716208879641346,2,1,
Combined,GPT-2,"grid position (2, 2)",0.09175640921222412,0.03085842058460544,2,2,
Combined,GPT-2,"grid position (0, 0)",-0.7468503163379182,0.04506810098037383,0,0,
Combined,GPT-2,"grid position (0, 1)",-0.07866158503545811,-0.10314545061112021,0,1,
Combined,GPT-2,"grid position (0, 2)",0.08651980988625359,0.04211227150237665,0,2,
Combined,GPT-2,"grid position (1, 0)",0.06482480569037853,-0.040300208272665304,1,0,
Combined,GPT-2,"grid position (1, 1)",0.05600044424931982,-0.010333489787975707,1,1,
Combined,GPT-2,"grid position (1, 2)",0.11944314051499319,0.06553272390434912,1,2,
Combined,GPT-2,"grid position (2, 0)",0.057926456478103884,-0.06671802215205348,2,0,
Combined,GPT-2,"grid position (2, 1)",0.05343111377558038,-0.02331285592737523,2,1,
Combined,GPT-2,"grid position (2, 2)",0.08554706529924325,0.0529349794695022,2,2,
Combined,GPT-2,"grid position (0, 0)",0.04201477829202083,0.009903036525413677,0,0,
Combined,GPT-2,"grid position (0, 1)",0.037736657592658075,-0.06122193927055396,0,1,
Combined,GPT-2,"grid position (0, 2)",0.12216060979223796,0.01768574857027616,0,2,
Combined,GPT-2,"grid position (1, 0)",0.05678106329035339,0.011468640498816827,1,0,
Combined,GPT-2,"grid position (1, 1)",0.08384482610920191,-0.02329640055420895,1,1,
Combined,GPT-2,"grid position (1, 2)",0.05337426960706237,-0.044662731274181695,1,2,
Combined,GPT-2,"grid position (2, 0)",0.04059548524850375,-0.0205111229795624,2,0,
Combined,GPT-2,"grid position (2, 1)",0.099507389161618,0.03568071540029413,2,1,
Combined,GPT-2,"grid position (2, 2)",-0.4908706411583845,0.023493552010745312,2,2,
Combined,GPT-2,"grid position (0, 0)",-0.03281719657131452,-0.1660373106865053,0,0,
Combined,GPT-2,"grid position (0, 1)",0.0428625085039826,-0.06905213805916222,0,1,
Combined,GPT-2,"grid position (0, 2)",0.08984340833363652,0.044857126973576154,0,2,
Combined,GPT-2,"grid position (1, 0)",-0.022883968814063346,-0.09314639509090901,1,0,
Combined,GPT-2,"grid position (1, 1)",0.03661165887909943,-0.008747785977448968,1,1,
Combined,GPT-2,"grid position (1, 2)",0.11813620126423513,0.03172299584848864,1,2,
Combined,GPT-2,"grid position (2, 0)",0.05184322678311558,0.06056033481153296,2,0,
Combined,GPT-2,"grid position (2, 1)",-0.415898448974554,0.06953839454450277,2,1,
Combined,GPT-2,"grid position (2, 2)",0.07399754449076752,0.055196515830095216,2,2,
Combined,GPT-2,"grid position (0, 0)",-0.4053673560325487,0.026837912612528207,0,0,
Combined,GPT-2,"grid position (0, 1)",0.09034469328744679,0.0074800288086525725,0,1,
Combined,GPT-2,"grid position (0, 2)",0.04356972814902642,-0.08839336566200043,0,2,
Combined,GPT-2,"grid position (1, 0)",0.088779962378899,-0.04816603746602122,1,0,
Combined,GPT-2,"grid position (1, 1)",0.11430068911713495,0.06800379787058002,1,1,
Combined,GPT-2,"grid position (1, 2)",0.07414056098162627,-0.0259368836762723,1,2,
Combined,GPT-2,"grid position (2, 0)",0.05089540387793314,-0.08139184685675989,2,0,
Combined,GPT-2,"grid position (2, 1)",0.048737561219239896,-0.03452073741846287,2,1,
Combined,GPT-2,"grid position (0, 0)",0.07269778742028761,0.10687285747331865,0,0,
Combined,GPT-2,"grid position (0, 1)",0.10541088284472955,0.06760123534265282,0,1,
Combined,GPT-2,"grid position (0, 2)",0.10901741138877999,0.018577916159671713,0,2,
Combined,GPT-2,"grid position (1, 0)",-0.03386482554131921,-0.02416856483891606,1,0,
Combined,GPT-2,"grid position (1, 1)",0.035647685020686284,-0.04823500140992512,1,1,
Combined,GPT-2,"grid position (1, 2)",0.08097189417630897,-0.07021580389388868,1,2,
Combined,GPT-2,"grid position (2, 0)",-0.6808516763305176,0.047426660512979994,2,0,
Combined,GPT-2,"grid position (2, 1)",0.09620279461000494,0.07117009565356212,2,1,
Combined,GPT-2,"grid position (2, 2)",0.10195814973329403,0.0038846795767418104,2,2,
Combined,GPT-2,"grid position (0, 0)",0.0658852705916636,-0.0004912944903567326,0,0,
Combined,GPT-2,"grid position (0, 1)",0.10327334002330703,0.048650456840864505,0,1,
Combined,GPT-2,"grid position (0, 2)",0.08923008779664506,0.03287751518208845,0,2,
Combined,GPT-2,"grid position (1, 0)",0.04449166905681142,-0.12087490672541899,1,0,
Combined,GPT-2,"grid position (1, 1)",0.07330275574866452,-0.0160930874551561,1,1,
Combined,GPT-2,"grid position (1, 2)",0.10539361628056317,0.051502026570677185,1,2,
Combined,GPT-2,"grid position (2, 0)",0.032484844366542046,-0.08071806484613823,2,0,
Combined,GPT-2,"grid position (2, 1)",0.06256435441627778,0.016805623581061878,2,1,
Combined,GPT-2,"grid position (2, 2)",-0.6247330375187414,0.05830662749701286,2,2,
Combined,GPT-2,"grid position (0, 0)",0.057157417428763554,-0.09527887627143923,0,0,
Combined,GPT-2,"grid position (0, 1)",-0.5922253101469085,0.00977074858668588,0,1,
Combined,GPT-2,"grid position (0, 2)",0.08033539095269192,0.06476941675274465,0,2,
Combined,GPT-2,"grid position (1, 0)",0.09014290712659044,-0.013084799502830674,1,0,
Combined,GPT-2,"grid position (1, 1)",0.06568803398654677,0.001028828585688742,1,1,
Combined,GPT-2,"grid position (1, 2)",0.08239525810755141,0.0501600308655402,1,2,
Combined,GPT-2,"grid position (2, 0)",0.0499896788470048,0.01286406374753274,2,0,
Combined,GPT-2,"grid position (2, 1)",0.05946842769878882,0.035085334322421564,2,1,
Combined,GPT-2,"grid position (2, 2)",0.12325595593209666,0.08306453474044809,2,2,
Combined,GPT-2,"grid position (0, 0)",-0.011190844867316927,-0.20743065524696802,0,0,
Combined,GPT-2,"grid position (0, 1)",-0.0052519230030201175,-0.12045436598699064,0,1,
Combined,GPT-2,"grid position (0, 2)",0.09796562941623398,0.05413818046250354,0,2,
Combined,GPT-2,"grid position (1, 0)",0.03037595241579182,-0.06751873757646912,1,0,
Combined,GPT-2,"grid position (1, 1)",0.08092579269495231,-0.003400836233049743,1,1,
Combined,GPT-2,"grid position (1, 2)",0.13990095999779512,0.0666618240522815,1,2,
Combined,GPT-2,"grid position (2, 0)",-0.6667409979749842,0.05421562884234716,2,0,
Combined,GPT-2,"grid position (2, 1)",0.09628556119534663,0.05399480713544014,2,1,
Combined,GPT-2,"grid position (2, 2)",0.11079667742579531,0.059203012786503445,2,2,
Combined,GPT-2,"grid position (0, 0)",0.09203572913148077,0.1458595741110184,0,0,
Combined,GPT-2,"grid position (0, 1)",0.07885784927726394,0.006574169337830238,0,1,
Combined,GPT-2,"grid position (0, 2)",0.03843574018957239,-0.05464833211534238,0,2,
Combined,GPT-2,"grid position (1, 0)",0.09874750111192346,0.06502373508310658,1,0,
Combined,GPT-2,"grid position (1, 1)",0.0631953475787815,-0.08584984077511451,1,1,
Combined,GPT-2,"grid position (1, 2)",-0.6186058482157604,0.02330270396669398,1,2,
Combined,GPT-2,"grid position (2, 0)",0.09917218714180558,0.060664481378737416,2,0,
Combined,GPT-2,"grid position (2, 1)",0.03203781139796079,-0.017714462212821087,2,1,
Combined,GPT-2,"grid position (2, 2)",0.04014553115709962,-0.09218829151555707,2,2,
Combined,GPT-2,"grid position (0, 0)",0.07222776684772864,0.00756596439023371,0,0,
Combined,GPT-2,"grid position (0, 1)",-0.5812822632496996,0.04292169054233572,0,1,
Combined,GPT-2,"grid position (0, 2)",0.011557623855664433,0.046790795003485826,0,2,
Combined,GPT-2,"grid position (1, 0)",0.07853130985684952,-0.027519016212413594,1,0,
Combined,GPT-2,"grid position (1, 1)",0.018265664355003097,-0.10587312630609051,1,1,
Combined,GPT-2,"grid position (1, 2)",0.024741083787586375,-0.0430069930943053,1,2,
Combined,GPT-2,"grid position (2, 0)",0.07321565784738042,0.016470202107533614,2,0,
Combined,GPT-2,"grid position (2, 1)",0.07556315946070537,-0.002626125950994467,2,1,
Combined,GPT-2,"grid position (2, 2)",0.06265745366543923,-0.012065523401135357,2,2,
Combined,GPT-2,"grid position (0, 0)",-0.09394890620418285,-0.07255215493031149,0,0,
Combined,GPT-2,"grid position (0, 1)",-0.0114245831158306,-0.05823128237129575,0,1,
Combined,GPT-2,"grid position (0, 2)",0.02054586798446975,0.0023757151524731067,0,2,
Combined,GPT-2,"grid position (1, 0)",-0.5043846240688089,0.04418558393086403,1,0,
Combined,GPT-2,"grid position (1, 1)",0.11354949828800597,0.018464350130171354,1,1,
Combined,GPT-2,"grid position (1, 2)",0.12580037078400716,0.034605329796739324,1,2,
Combined,GPT-2,"grid position (2, 0)",0.06656756129548495,-0.01896617579284492,2,0,
Combined,GPT-2,"grid position (2, 1)",0.07886626858296995,-0.049333377162743934,2,1,
Combined,GPT-2,"grid position (2, 2)",0.10084808757240232,-0.056414744554865774,2,2,
Combined,GPT-2,"grid position (0, 0)",0.005582544284350454,0.11013155607737038,0,0,
Combined,GPT-2,"grid position (0, 1)",0.027494159111361695,0.00536037896981204,0,1,
Combined,GPT-2,"grid position (0, 2)",0.04793023364106313,-0.025244704986751215,0,2,
Combined,GPT-2,"grid position (1, 0)",0.06637442025001505,-0.06655570795978125,1,0,
Combined,GPT-2,"grid position (1, 1)",0.09416164353041558,0.018720458794779675,1,1,
Combined,GPT-2,"grid position (1, 2)",0.10317091350360966,0.05532853148232182,1,2,
Combined,GPT-2,"grid position (2, 0)",-0.568797510908161,-0.009277112418109041,2,0,
Combined,GPT-2,"grid position (2, 1)",0.017829577819285156,-0.05433543587178128,2,1,
Combined,GPT-2,"grid position (2, 2)",0.08520634070538542,0.014839414115275538,2,2,
Combined,GPT-2,"grid position (0, 0)",0.07124768688383874,0.05610228441952984,0,0,
Combined,GPT-2,"grid position (0, 1)",-0.026170665657588476,-0.0652170889138007,0,1,
Combined,GPT-2,"grid position (0, 2)",-0.03662526860403371,-0.1550068227635938,0,2,
Combined,GPT-2,"grid position (1, 0)",0.08853065095002259,0.014819979225621135,1,0,
Combined,GPT-2,"grid position (1, 1)",0.08090644624737325,0.08183793982369417,1,1,
Combined,GPT-2,"grid position (1, 2)",0.08047374630906458,-0.014745717625138108,1,2,
Combined,GPT-2,"grid position (2, 0)",0.05132127155948703,-0.05800788591791262,2,0,
Combined,GPT-2,"grid position (2, 1)",-0.42561464493267465,0.03041890870710026,2,1,
Combined,GPT-2,"grid position (2, 2)",0.0648986187485321,-0.02734466378668884,2,2,
Combined,GPT-2,"grid position (0, 0)",0.03211606301936603,-0.017250389129674464,0,0,
Combined,GPT-2,"grid position (0, 1)",0.06912562964703306,0.08815319749389823,0,1,
Combined,GPT-2,"grid position (0, 2)",0.022854515642800177,0.10518527073958205,0,2,
Combined,GPT-2,"grid position (1, 0)",0.09227060814397801,-0.020304418635281377,1,0,
Combined,GPT-2,"grid position (1, 1)",0.07151901704417579,0.06082353127836295,1,1,
Combined,GPT-2,"grid position (1, 2)",0.07462400467261092,0.05243625705625543,1,2,
Combined,GPT-2,"grid position (2, 0)",0.08241100481296959,-0.03222555574539708,2,0,
Combined,GPT-2,"grid position (2, 1)",0.0033164258616396242,-0.05722200359568209,2,1,
Combined,GPT-2,"grid position (2, 2)",-0.4092095640196259,0.012260097251424537,2,2,
Combined,GPT-2,"grid position (0, 0)",0.03355456863715762,0.005143137459340781,0,0,
Combined,GPT-2,"grid position (0, 1)",0.039676270323631906,-0.017894830900674688,0,1,
Combined,GPT-2,"grid position (0, 2)",0.10978664123054345,0.005617003540660852,0,2,
Combined,GPT-2,"grid position (1, 0)",0.02515125096601511,-0.03958887644587468,1,0,
