PCA plot,Model,series,PC1,PC2,Grid x,Grid y,Node name
Combined,Our model,"grid position (0, 2)",0.09269890814803411,0.08345128270415683,0,2,
Combined,Our model,"grid position (1, 0)",-0.0011096478732872343,-0.21345870616017962,1,0,
Combined,Our model,"grid position (1, 1)",-0.010765683805864923,-0.07109458503149028,1,1,
Combined,Our model,"grid position (1, 2)",-0.09892611962855843,0.014632502385635977,1,2,
Combined,Our model,"grid position (2, 0)",-0.09448523525655442,-0.2912528418354498,2,0,
Combined,Our model,"grid position (2, 1)",-0.07678193502661182,-0.13893994294060824,2,1,
Combined,Our model,"grid position (2, 2)",-0.0077022150241482495,-0.14771921357283277,2,2,
Combined,Our model,"grid position (0, 0)",0.37704111824754866,-0.05410328713640147,0,0,
Combined,Our model,"grid position (0, 1)",0.33395051332251824,0.15156466519518885,0,1,
Combined,Our model,"grid position (0, 2)",0.19706818987243216,0.40887032887592717,0,2,
Combined,Our model,"grid position (1, 0)",0.030980740643524008,-0.24744614397444115,1,0,
Combined,Our model,"grid position (1, 1)",0.004656588563473308,-0.03712610602177111,1,1,
Combined,Our model,"grid position (1, 2)",-0.10099309156728463,0.09380094730101375,1,2,
Combined,Our model,"grid position (2, 0)",-0.09063604989904529,-0.2754645564474369,2,0,
Combined,Our model,"grid position (2, 1)",-0.048786638817496876,-0.10465622367889785,2,1,
Combined,Our model,"grid position (2, 2)",-0.13931570397240903,-0.020323439583667495,2,2,
Combined,Our model,"grid position (0, 0)",0.15111097882106464,-0.0672893473843455,0,0,
Combined,Our model,"grid position (0, 1)",0.30867411888134927,0.2249507026389571,0,1,
Combined,Our model,"grid position (0, 2)",-0.04584521833700272,0.3094210103307187,0,2,
Combined,Our model,"grid position (1, 0)",0.0671688192763469,-0.29437445250342426,1,0,
Combined,Our model,"grid position (1, 1)",-0.08324168442018698,-0.008450013763228428,1,1,
Combined,Our model,"grid position (1, 2)",-0.2923958528533815,0.1425258195684154,1,2,
Combined,Our model,"grid position (2, 0)",-0.16127314043299062,-0.227354509412432,2,0,
Combined,Our model,"grid position (2, 1)",-0.15188168636164087,-0.060873489884301475,2,1,
Combined,Our model,"grid position (2, 2)",-0.41541333751161447,0.10826581716920565,2,2,
