PCA plot,Model,series,PC1,PC2,Generation,Node name
Combined,Our model,Parent,0.0965579940160343,-0.2226955688112645,1,
Combined,Our model,Child,-0.1411283362806665,-0.07090376190395603,2,
Combined,Our model,Child,-0.18879338455504002,-0.04589891353908593,2,
Combined,Our model,Grandparent,0.08797456227904524,0.13183785661595382,0,
Combined,Our model,Grandparent,0.2900339260215644,0.0017263285877209928,0,
Combined,Our model,Parent,-0.11053943400492959,-0.004224345029398628,1,
Combined,Our model,Parent,-0.02565404135716856,-0.11711296438179677,1,
Combined,Our model,Grandparent,0.18028387159156495,0.16545177528304525,0,
Combined,Our model,Grandparent,0.2379295064894187,0.025358334900850044,0,
Combined,Our model,Parent,0.0014667013920135765,-0.11619837282886841,1,
Combined,Our model,Parent,-0.04682054315401689,-0.13134972651064594,1,
Combined,Our model,Child,-0.20133150818557996,-0.0032909461787793705,2,
Combined,Our model,Child,-0.09151587167861235,-0.18158742481415585,2,
Combined,Our model,Grandparent,0.21346105627584142,0.08994244961680345,0,
Combined,Our model,Grandparent,0.26008280166616965,0.018255546764012268,0,
Combined,Our model,Parent,-0.22525119544328012,0.1178318844314493,1,
Combined,Our model,Parent,-0.361123867749341,0.2812662971476152,1,
Combined,Our model,Grandparent,0.17930914575263723,0.09930430222661697,0,
Combined,Our model,Grandparent,0.30048456850753913,-0.031410029085249265,0,
Combined,Our model,Parent,0.009759672208804488,-0.1155886419491424,1,
Combined,Our model,Parent,-0.0443187101962468,-0.08480093875666977,1,
Combined,Our model,Child,-0.13845805799166291,-0.09862064519751049,2,
Combined,Our model,Child,-0.07685111345743213,-0.18575753204264212,2,
Combined,Our model,Grandparent,0.04464008399990638,0.16456717620119501,0,
Combined,Our model,Grandparent,0.14956854610265985,0.0721961040061641,0,
Combined,Our model,Parent,-0.1071354214919255,-0.017182428809022515,1,
Combined,Our model,Parent,-0.34693921234423347,0.2344103563497495,1,
Combined,Our model,Grandparent,0.2143991137381774,0.035854860463901926,0,
Combined,Our model,Grandparent,0.20734255960477346,0.049847712421578656,0,
Combined,Our model,Parent,-0.11285588127114574,-0.02463864427960129,1,
Combined,Our model,Parent,-0.1384447383114316,-0.017672744675819384,1,
Combined,Our model,Child,-0.19500440976001587,-0.03711266723463306,2,
Combined,Our model,Child,-0.14707638974211834,-0.07994908205957175,2,
Combined,Our model,Grandparent,0.24360846150445747,0.08778819089433547,0,
Combined,Our model,Grandparent,0.06934233320819254,0.1600239555530788,0,
Combined,Our model,Parent,0.007772504247941898,-0.14100101457332015,1,
Combined,Our model,Grandparent,0.06892035622059951,0.1791327816747768,0,
Combined,Our model,Grandparent,0.17505603270923575,0.04351344188289586,0,
Combined,Our model,Parent,-0.040644665161939035,-0.06614390701021533,1,
Combined,Our model,Parent,-0.5233337221069434,0.47908164489778954,1,
Combined,Our model,Child,-0.12468882506240561,-0.11775365213162571,2,
Combined,Our model,Child,-0.11590266343110799,-0.14495810861874656,2,
Combined,Our model,Grandparent,0.2391503027795324,0.07586320561851882,0,
Combined,Our model,Grandparent,0.15869237712575465,0.09249022830957383,0,
Combined,Our model,Parent,-0.05499917337445845,-0.07594075000573622,1,
Combined,Our model,Parent,-0.017094991222889322,-0.11382273634826237,1,
Combined,Our model,Grandparent,0.15493592798852693,0.11184130346920794,0,
Combined,Our model,Grandparent,0.06801245519840557,0.06327212786474187,0,
Combined,Our model,Parent,-0.04751143999633798,-0.04793977269833242,1,
Combined,Our model,Parent,-0.14552180658451397,0.02563973655930491,1,
Combined,Our model,Child,-0.17090370543429498,-0.06564984285163777,2,
Combined,Our model,Child,-0.13163791273437367,-0.09915023858926039,2,
Combined,Our model,Grandparent,0.27522886941582575,-0.025654884113874246,0,
Combined,Our model,Grandparent,-0.11777964156106793,0.2767705844494188,0,
Combined,Our model,Parent,0.010484296804375936,-0.14101815657226555,1,
Combined,Our model,Parent,-0.1680924647578545,0.035323551079027196,1,
Combined,Our model,Grandparent,0.04582600267755616,0.1071159303541006,0,
Combined,Our model,Grandparent,0.06115532830433025,0.17327226852294722,0,
Combined,Our model,Parent,-0.05817305157335406,-0.0365919137509441,1,
Combined,Our model,Parent,-0.2740407929877865,0.13447364850650056,1,
Combined,Our model,Child,-0.020093285223089143,-0.2057070276367704,2,
Combined,Our model,Child,-0.1125038267811582,-0.10102111993259844,2,
Combined,Our model,Grandparent,0.20973262347065094,0.12814520422208536,0,
Combined,Our model,Grandparent,0.16533870324316127,-0.12151160564924011,0,
Combined,Our model,Parent,0.01213911436293554,-0.09333116258027571,1,
Combined,Our model,Grandparent,0.21046705887744463,-0.003988400152062522,0,
Combined,Our model,Grandparent,0.253301875740545,0.020222902958632088,0,
Combined,Our model,Parent,-0.046862980920785786,-0.08879342588771817,1,
Combined,Our model,Parent,0.0009439396491804076,-0.1547980588756989,1,
Combined,Our model,Child,-0.27008007326491384,0.07736157651302907,2,
Combined,Our model,Child,-0.15806821808568394,-0.07271878493962457,2,
Combined,Our model,Grandparent,0.17073253279702866,0.13715060376074348,0,
Combined,Our model,Grandparent,0.10296956480537241,0.16620544850914376,0,
Combined,Our model,Parent,-0.09263199353933486,-0.025382422871118488,1,
Combined,Our model,Parent,-0.21390925232713398,0.06823086388034767,1,
Combined,Our model,Grandparent,-0.039222968971907836,0.22202289330560554,0,
Combined,Our model,Grandparent,-0.16772597041121465,0.34728578720502845,0,
Combined,Our model,Parent,-0.09676841414112454,-0.026161472923524415,1,
Combined,Our model,Parent,-0.17431418130278384,0.03358026866205319,1,
Combined,Our model,Child,-0.08535523691480675,-0.1802677593751425,2,
Combined,Our model,Child,-0.1847345634308031,-0.05346425614896587,2,
Combined,Our model,Grandparent,0.20633090695992962,-0.022485172370372113,0,
Combined,Our model,Grandparent,0.2237751034218724,0.010485217079846308,0,
Combined,Our model,Parent,-0.007890160771680465,-0.11334064719378548,1,
Combined,Our model,Parent,-0.06277134448409173,-0.09163983227427835,1,
Combined,Our model,Grandparent,0.035094797693839476,0.13988771428141586,0,
Combined,Our model,Grandparent,0.16253719281576204,0.06240872308940362,0,
Combined,Our model,Parent,-0.27073924056402016,0.22777808154161613,1,
Combined,Our model,Parent,-0.31917795099367235,0.1972556791370645,1,
Combined,Our model,Child,-0.12155006698962247,-0.13054768181260915,2,
Combined,Our model,Child,-0.07649682430816251,-0.16166493173624272,2,
Combined,Our model,Grandparent,0.2714044490840899,0.0313366889497566,0,
Combined,Our model,Grandparent,0.20046060606965285,0.06682628172313822,0,
Combined,Our model,Parent,0.006805809545793211,-0.14421955379259888,1,
Combined,Our model,Parent,-0.07837750197990641,-0.05376785315832877,1,
Combined,Our model,Grandparent,0.16653895033223803,0.12591449258814194,0,
Combined,Our model,Grandparent,0.20943705916986205,0.09768051239122577,0,
Combined,Our model,Parent,-0.13296159663240473,0.024275879369867373,1,
Combined,Our model,Parent,-0.21220324245855704,0.07552299182952701,1,
Combined,Our model,Child,-0.12897241543077612,-0.11686535987726339,2,
Combined,Our model,Child,-0.17450594383248103,-0.04544447089519309,2,
Combined,Our model,Grandparent,0.025779377511355603,0.22252570084890294,0,
Combined,Our model,Grandparent,0.24015211272888756,0.05845701291403219,0,
Combined,Our model,Parent,0.022422382273190298,-0.1341893618148054,1,
Combined,Our model,Parent,-0.025220186324540445,-0.11952651500929803,1,
Combined,Our model,Grandparent,0.1460248480485245,0.18253598779804447,0,
Combined,Our model,Grandparent,0.19535971815851652,0.05834638197446656,0,
Combined,Our model,Parent,-0.0967501606993058,-0.009235751033155007,1,
Combined,Our model,Parent,-0.18574054345131766,0.07569558701284089,1,
Combined,Our model,Child,-0.1268032362832353,-0.1248283048742286,2,
Combined,Our model,Child,-0.1101633283490674,-0.15834829826799385,2,
Combined,Our model,Grandparent,0.22280372466089574,0.08165562412819423,0,
Combined,Our model,Parent,0.050394024234247485,-0.17532097706924307,1,
Combined,Our model,Grandparent,0.23452287816062975,0.0012353786023855664,0,
Combined,Our model,Grandparent,0.21137131334128026,0.013905616264370757,0,
Combined,Our model,Parent,0.029911378092994316,-0.16029359553707076,1,
Combined,Our model,Parent,-0.09052690585376685,-0.07063255672329576,1,
Combined,Our model,Child,-0.18212482198512195,-0.0463190167990466,2,
Combined,Our model,Child,-0.14962476522607213,-0.11540863842097444,2,
